*Date of Rally*,*City*,*State*,*Venue*,*Estimated Visitors*,*Source*,County Name
"Saturday, April 2, 2016",Rothschild,WI,Central Wisconsin Convention & Expo Center,"1,700",[157],Marathon
"Sunday, April 3, 2016",West Allis,WI,Nathan Hale High School,"1,000",[158],Milwaukee
"Monday, April 4, 2016",La Crosse,WI,La Crosse Center,"1,700",[159],La Crosse
"Monday, April 4, 2016",Milwaukee,WI,Milwaukee Theatre,,[160][161],Milwaukee
"Monday, April 4, 2016",Superior,WI,Richard I. Bong Airport,"1,000",[162],Douglas
"Wednesday, April 6, 2016",Bethpage,NY,Grumman Studios,"10,000",[163],Nassau
"Sunday, April 10, 2016",Rochester,NY,"JetSmart Aviation Services, Greater Rochester International Airport","9,000",[164],Monroe
"Monday, April 11, 2016",Albany,NY,Times Union Center,"10,000",[165],Albany
"Tuesday, April 12, 2016",Rome,NY,Griffiss International Airport,"5,000",[166],Oneida
"Wednesday, April 13, 2016",Pittsburgh,PA,David L. Lawrence Convention Center,"4,500",[167],Allegheny
"Friday, April 15, 2016",Hartford,CT,Connecticut Convention Center,"7,000",[168],Hartford
"Friday, April 15, 2016",Plattsburgh,NY,Crete Civic Center,"3,000",[169],Clinton
"Saturday, April 16, 2016",Syracuse,NY,"Nicholas J. Pirro Convention Center, Oncenter","5,000",[170],Onondaga
"Saturday, April 16, 2016",Watertown,NY,Watertown International Airport,"2,000",[171],Jefferson 
"Sunday, April 17, 2016",Poughkeepsie,NY,Mid-Hudson Civic Center,,[172],Dutchess
"Monday, April 18, 2016",Buffalo,NY,First Niagara Center,"11,400",[173],Erie
"Wednesday, April 20, 2016",Indianapolis,IN,"Elements Financial Blue Ribbon Pavilion, Indiana State Fairgrounds","4,000",[174],Marion
"Wednesday, April 20, 2016",Berlin,MD,Stephen Decatur High School,"3,000",[175],Worcester
"Thursday, April 21, 2016",Harrisburg,PA,Pennsylvania Farm Show Complex & Expo Center,"6,000",[176],Dauphin
"Friday, April 22, 2016",Harrington,DE,"Quillen Arena, Delaware State Fairgrounds","8,200",[177],Kent 
"Saturday, April 23, 2016",Bridgeport,CT,Klein Memorial Auditorium,"1,400",[178],Fairfield
"Saturday, April 23, 2016",Waterbury,CT,Crosby High School,"3,000",[179],New Haven
"Sunday, April 24, 2016",Hagerstown,MD,"Rider Jet Center, Hagerstown Regional Airport","5,000",[180],Washington
"Monday, April 25, 2016",Warwick,RI,Crowne Plaza Hotel Providence-Warwick,"1,000",[181],Kent
"Monday, April 25, 2016",West Chester,PA,West Chester University,"3,500",[182],Chester
"Monday, April 25, 2016",Wilkes-Barre,PA,Mohegan Sun Arena at Casey Plaza,"10,000",[183],Luzerne
"Wednesday, April 27, 2016",Indianapolis,IN,Indiana Farmers Coliseum,"5,000",[184],Marion
"Thursday, April 28, 2016",Costa Mesa,CA,"Pacific Amphitheatre, OC Fair & Event Center",,[185][186],Orange
